Naam,Productcode,Type,Attributen,Barcode,EAN,Tags,Lengte,Breedte,Hoogte,Gewicht,Leverancier,Leverancier productcode,Afbeelding,Extern product,Inkoopbaar,Ongelimiteerde voorraad,Vrije voorraad,Totale voorraad,Minimale voorraad,Voorraad aanvullen tot,Inkoop veelvoud,Inkoopprijs,Verkoopprijs,Belastingspercentage,Voorraadwaarde,Backorders toestaan,Voorraad bijwerken in verkoopplatformen,Korte leverperiode,Lange leverperiode,Voorraadlocatie (hoogste prioriteit),HS-code,Land van oorsprong,Douane - Productbeschrijving (Engels),Cantastic,Cantastic TEST
Grog Squeezer 25mm FMP,8052440550548,Normaal,Color: GROG SUNRAY YELLOW,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/694820998bfde08789a0f9bdd08ba3/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm FMP,8052440550531,Normaal,Color: GROG CLOCKWORK ORANGE,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3cbcea8c2ece10032f8bda2bfc309b/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm FMP,8052440550524,Normaal,Color: GROG FERRARI RED,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/dd96fa7a06d97bc3e52db7babf2bd5/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm FMP,8052440550487,Normaal,Color: GROG PIGGY PINK,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/60f5b0cd9ebd4d4afe36a5c7a591d8/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm FMP,8052440551491,Normaal,Color: GROG JELLYFISH FUCHSIA,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3d20029ca65e0530e0ad8fae3b2152/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm FMP,8052440550470,Normaal,Color: GROG GOLDRAKE PURPLE,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/cc79517dc12c8be1fc75ee0c6874f0/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm FMP,8052440550500,Normaal,Color: GROG ICEBERG BLUE,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/7bfbef8bb7456a97a92eaefd485485/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm FMP,8052440552429-2,Normaal,Color: GROG MIAMI GREEN,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/50b4c2159bf16c936153ff96b748d6/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm FMP,8052440550418-2,Normaal,Color: GROG BURNING CHROME,,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/7adb5b00ee6bc75e6631534c65fd70/original.jpg,0,1,0,0,0,0,10,1,0.00,7,,0,0,1,,,,,,,1,0
Grog Stronghair 25 EPT Tips,8052440551897,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,5.00,5.00,0.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/5a52320943ceca32f7abec90b10139/original.jpg,0,1,0,3,3,0,10,1,0.00,3.4,,0,0,1,,,,,,,1,0
