Intern UUID,Naam,Productcode,Actief,Type,Attributen,Barcode,EAN,Tags,Lengte,Breedte,Hoogte,Gewicht,Leverancier,Leverancier productcode,Afbeelding,Extern product,Inkoopbaar,Ongelimiteerde voorraad,Vrije voorraad,Totale voorraad,Gebruik fictieve voorraad,Fictieve voorraad,Gebruik daadwerkelijke voorraad als voorraad onder de volgende drempel komt,Minimale voorraad,Voorraad aanvullen tot,Inkoop veelvoud,Inkoopprijs,Verkoopprijs,Belastingspercentage,Voorraadwaarde,Backorders toestaan,Voorraad bijwerken in verkoopplatformen,Levertijd indien op voorraad,Levertijd indien niet op voorraad,Voorraadlocatie (hoogste prioriteit),HS-code,Land van oorsprong,Douane - Productbeschrijving (Engels),Cantastic,Cantastic TEST
b6febe28-bfca-48db-b7fb-a8be27bd53af,Loop Water based Markers 2mm,LPM-002.107,1,Normaal,Color: LP-107 BARCELONA,8021025021070,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/e0a4989c221c847dd84c871119f9e1/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
c509496e-18c8-4664-8190-398fa85dc601,Loop Water based Markers 2mm,LPM-002.129,1,Normaal,Color: LP-129 TILBURG,,8021025021292,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/dfd1fdee5f8462f39fb8e5af493c1b/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
dc68f81f-5db8-4d77-b172-c8f02ffff952,Loop Water based Markers 2mm,LPM-002.144,1,Normaal,Color: LP-144 BRIGHTON,,8021025021445,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/9381e0c12ef4a2760ab05e322de67a/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
c947cfd1-2a9c-4539-b441-42f16eade717,Loop Water based Markers 2mm,LPM-002.154,1,Normaal,Color: LP-154 LIMERICK,,8021025021544,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/a8d4ea1c1d9dfe69e73f690e2534c3/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
3b199025-e897-4344-a1f5-310ca593cc62,Loop Water based Markers 2mm,LPM-002.161,1,Normaal,Color: LP-161 PORTO,,8021025021612,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/13a8405cb1782824e8947ce886aa54/original.jpg,0,1,0,3,3,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
7ebf9548-e8fa-4a47-b2dc-4f57e0fbce16,Loop Water based Markers 2mm,LPM-002.188,1,Normaal,Color: LP-188 OULU,,8021025021889,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/6d66ffd90a6f885d576b3aeb5a15da/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
27d624e3-c4ed-42ca-8e42-b61323ade4c1,Loop Water based Markers 2mm,LPM-002.191,1,Normaal,Color: LP-191 MOSS,,8021025021919,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/a65664b7534e7191181a7ca309ef3c/original.jpg,0,1,0,3,3,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
4dfa5a69-84e0-4372-a88f-1446fd05fcde,Loop Water based Markers 2mm,LPM-002.202,1,Normaal,Color: LP-202 STRASBOURG,,8021025022022,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3e868bce173b447ca5d4ca1c1ae1b4/original.jpg,0,1,0,3,3,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
c421fd98-ed4f-4207-9163-66d233cd40c2,Loop Water based Markers 2mm,LPM-002.203,1,Normaal,Color: LP-203 METS,,8021025022039,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/6d7ed1545930a391b6b7bb6e0016d2/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
a8380272-bde0-4e0a-8453-e11bbbefaae3,Loop Water based Markers 2mm,LPM-002.205,1,Normaal,Color: LP-205 LILLE,,8021025022053,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/8f110f58500f8fad7e341cd0cfc939/original.jpg,0,1,0,1,1,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
61ecbcfe-1618-4613-9fc4-9efc853795de,Loop Water based Markers 2mm,LPM-002.251,1,Normaal,Color: LP-251 MILANO,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/16534226280b54e20ec1a09367a5c9/original.jpg,0,1,0,0,0,0,,,0,10,1,0.00,3,,0,0,1,,,,,,,1,0
